rh.aparc.thicknessstd	rh_bankssts_thicknessstd	rh_caudalanteriorcingulate_thicknessstd	rh_caudalmiddlefrontal_thicknessstd	rh_cuneus_thicknessstd	rh_entorhinal_thicknessstd	rh_fusiform_thicknessstd	rh_inferiorparietal_thicknessstd	rh_inferiortemporal_thicknessstd	rh_isthmuscingulate_thicknessstd	rh_lateraloccipital_thicknessstd	rh_lateralorbitofrontal_thicknessstd	rh_lingual_thicknessstd	rh_medialorbitofrontal_thicknessstd	rh_middletemporal_thicknessstd	rh_parahippocampal_thicknessstd	rh_paracentral_thicknessstd	rh_parsopercularis_thicknessstd	rh_parsorbitalis_thicknessstd	rh_parstriangularis_thicknessstd	rh_pericalcarine_thicknessstd	rh_postcentral_thicknessstd	rh_posteriorcingulate_thicknessstd	rh_precentral_thicknessstd	rh_precuneus_thicknessstd	rh_rostralanteriorcingulate_thicknessstd	rh_rostralmiddlefrontal_thicknessstd	rh_superiorfrontal_thicknessstd	rh_superiorparietal_thicknessstd	rh_superiortemporal_thicknessstd	rh_supramarginal_thicknessstd	rh_frontalpole_thicknessstd	rh_temporalpole_thicknessstd	rh_transversetemporal_thicknessstd	rh_insula_thicknessstd	BrainSegVolNotVent	eTIV
F_CD_32	0.332	0.608	0.383	0.422	0.681	0.585	0.442	0.678	0.741	0.47	0.56	0.537	0.516	0.583	0.577	0.541	0.42	0.579	0.451	0.42	0.465	0.649	0.461	0.459	0.493	0.449	0.518	0.387	0.531	0.413	0.706	0.621	0.341	0.773	1035197.0	1421833.27125
F_CD_35	0.378	0.52	0.407	0.421	0.692	0.556	0.44	0.575	0.752	0.488	0.626	0.541	0.629	0.503	0.549	0.599	0.359	0.529	0.501	0.429	0.531	0.707	0.471	0.523	0.518	0.535	0.561	0.424	0.536	0.45	0.658	0.593	0.392	0.791	1137072.0	1165017.017072
F_CD_36	0.378	0.765	0.415	0.54	0.806	0.487	0.516	0.636	0.71	0.492	0.573	0.566	0.645	0.569	0.647	0.489	0.4	0.547	0.431	0.319	0.608	0.7	0.503	0.499	0.646	0.507	0.506	0.482	0.544	0.489	0.534	0.792	0.321	0.792	1019232.0	1114684.251289
F_CD_37	0.358	0.575	0.412	0.389	0.789	0.504	0.417	0.546	0.797	0.43	0.608	0.465	0.623	0.592	0.543	0.453	0.345	0.593	0.382	0.377	0.43	0.671	0.474	0.47	0.625	0.552	0.529	0.378	0.504	0.4	0.468	0.736	0.266	0.78	988763.0	1133354.664589
F_CD_38	0.491	0.723	0.436	0.442	0.952	0.532	0.527	0.66	0.817	0.568	0.647	0.588	0.67	0.59	0.645	0.487	0.471	0.614	0.537	0.425	0.63	0.657	0.565	0.529	0.527	0.54	0.537	0.434	0.716	0.518	0.538	0.645	0.578	0.819	1298485.0	1439862.844446
F_CD_39	0.386	0.628	0.334	0.422	0.606	0.528	0.391	0.58	0.614	0.494	0.697	0.526	0.554	0.545	0.683	0.526	0.417	0.52	0.447	0.443	0.583	0.699	0.573	0.444	0.616	0.486	0.482	0.406	0.55	0.426	0.444	0.603	0.423	0.686	1036637.0	1307530.153229
F_CD_40	0.321	0.577	0.428	0.429	0.694	0.622	0.417	0.639	0.698	0.496	0.658	0.538	0.575	0.539	0.557	0.391	0.407	0.531	0.421	0.419	0.552	0.645	0.506	0.425	0.598	0.471	0.486	0.421	0.519	0.463	0.54	0.646	0.277	0.706	1081944.0	1417784.639614
F_HCC_01	0.338	0.766	0.524	0.445	0.759	0.586	0.452	0.764	0.723	0.525	0.587	0.521	0.585	0.657	0.804	0.513	0.454	0.561	0.488	0.446	0.638	0.654	0.58	0.495	0.584	0.62	0.707	0.445	0.541	0.604	0.635	0.623	0.519	0.866	1088312.0	1587770.647652
F_HCC_02	0.451	0.616	0.39	0.44	0.676	0.567	0.429	0.661	0.771	0.473	0.667	0.532	0.569	0.6	0.569	0.479	0.435	0.631	0.459	0.414	0.468	0.68	0.469	0.428	0.503	0.469	0.52	0.386	0.573	0.405	0.482	0.608	0.371	0.718	1197168.0	1539718.917702
F_HCC_03	0.363	0.676	0.482	0.478	0.601	0.579	0.465	0.697	0.829	0.577	0.738	0.587	0.518	0.568	0.641	0.575	0.412	0.511	0.533	0.428	0.589	0.726	0.543	0.502	0.694	0.481	0.524	0.467	0.576	0.481	0.513	0.555	0.375	0.699	1156524.0	1512233.704631
F_HCC_04	0.341	0.678	0.443	0.425	0.618	0.647	0.499	0.634	0.795	0.553	0.645	0.524	0.532	0.588	0.621	0.442	0.373	0.481	0.373	0.457	0.545	0.688	0.496	0.458	0.519	0.494	0.489	0.449	0.617	0.475	0.421	0.63	0.362	0.753	1096337.0	1596506.457817
