rh.aparc.thicknessstd	rh_bankssts_thicknessstd	rh_caudalanteriorcingulate_thicknessstd	rh_caudalmiddlefrontal_thicknessstd	rh_cuneus_thicknessstd	rh_entorhinal_thicknessstd	rh_fusiform_thicknessstd	rh_inferiorparietal_thicknessstd	rh_inferiortemporal_thicknessstd	rh_isthmuscingulate_thicknessstd	rh_lateraloccipital_thicknessstd	rh_lateralorbitofrontal_thicknessstd	rh_lingual_thicknessstd	rh_medialorbitofrontal_thicknessstd	rh_middletemporal_thicknessstd	rh_parahippocampal_thicknessstd	rh_paracentral_thicknessstd	rh_parsopercularis_thicknessstd	rh_parsorbitalis_thicknessstd	rh_parstriangularis_thicknessstd	rh_pericalcarine_thicknessstd	rh_postcentral_thicknessstd	rh_posteriorcingulate_thicknessstd	rh_precentral_thicknessstd	rh_precuneus_thicknessstd	rh_rostralanteriorcingulate_thicknessstd	rh_rostralmiddlefrontal_thicknessstd	rh_superiorfrontal_thicknessstd	rh_superiorparietal_thicknessstd	rh_superiortemporal_thicknessstd	rh_supramarginal_thicknessstd	rh_frontalpole_thicknessstd	rh_temporalpole_thicknessstd	rh_transversetemporal_thicknessstd	rh_insula_thicknessstd	BrainSegVolNotVent	eTIV
F_HCC_102	0.374	0.559	0.4	0.432	0.724	0.578	0.426	0.553	0.67	0.486	0.577	0.523	0.58	0.542	0.723	0.476	0.437	0.514	0.472	0.489	0.611	0.569	0.505	0.466	0.414	0.473	0.499	0.443	0.527	0.441	0.458	0.471	0.373	0.693	1024243.0	1422778.52718
F_HCC_103	0.331	0.514	0.449	0.371	0.777	0.595	0.456	0.631	0.775	0.493	0.546	0.541	0.538	0.507	0.764	0.439	0.396	0.543	0.421	0.446	0.546	0.576	0.534	0.424	0.519	0.478	0.451	0.445	0.536	0.424	0.441	0.692	0.405	0.743	1137332.0	1206118.51598
F_HCC_104	0.449	0.378	0.442	0.392	0.784	0.525	0.462	0.609	0.597	0.451	0.593	0.533	0.505	0.531	0.567	0.458	0.353	0.522	0.417	0.364	0.459	0.503	0.564	0.423	0.55	0.469	0.55	0.412	0.573	0.479	0.417	0.649	0.379	0.744	942434.0	1229047.702154
F_HCC_105	0.319	0.763	0.416	0.414	0.463	0.57	0.406	0.571	0.831	0.444	0.583	0.494	0.527	0.491	0.695	0.567	0.306	0.495	0.401	0.501	0.492	0.662	0.591	0.393	0.485	0.459	0.506	0.375	0.489	0.381	0.443	0.597	0.307	0.69	1053895.0	1396256.125016
F_HCC_106	0.344	0.733	0.375	0.398	0.783	0.51	0.416	0.556	0.658	0.455	0.54	0.575	0.454	0.443	0.742	0.498	0.338	0.439	0.345	0.449	0.514	0.727	0.47	0.425	0.47	0.441	0.472	0.399	0.499	0.409	0.506	0.345	0.237	0.681	989411.0	1058253.152321
F_HCC_107	0.385	0.519	0.428	0.424	0.624	0.589	0.454	0.529	0.649	0.422	0.585	0.617	0.548	0.565	0.726	0.51	0.456	0.527	0.416	0.416	0.581	0.634	0.503	0.458	0.428	0.415	0.476	0.452	0.486	0.459	0.472	0.511	0.421	0.699	1166330.0	1194032.923457
F_HCC_108	0.345	0.688	0.412	0.445	0.927	0.55	0.39	0.615	0.758	0.58	0.652	0.534	0.537	0.54	0.592	0.466	0.366	0.528	0.486	0.379	0.534	0.623	0.473	0.472	0.661	0.449	0.476	0.408	0.538	0.412	0.577	0.701	0.346	0.687	1042941.0	1370740.666474
F_HCC_109	0.357	0.624	0.419	0.453	0.845	0.579	0.438	0.656	0.638	0.524	0.699	0.59	0.613	0.541	0.87	0.484	0.423	0.565	0.444	0.463	0.424	0.546	0.577	0.516	0.751	0.513	0.528	0.398	0.565	0.46	0.616	0.748	0.214	0.801	933892.0	1183255.731423
F_HCC_110	0.43	0.563	0.581	0.384	0.817	0.534	0.441	0.627	0.548	0.493	0.743	0.54	0.545	0.529	0.717	0.4	0.491	0.584	0.422	0.375	0.454	0.509	0.503	0.459	0.84	0.492	0.505	0.368	0.55	0.447	0.56	0.712	0.317	0.618	781546.0	1009217.992357
F_HCC_111	0.332	0.679	0.371	0.417	0.691	0.592	0.423	0.668	0.695	0.487	0.609	0.533	0.553	0.504	0.723	0.474	0.383	0.59	0.414	0.456	0.521	0.524	0.441	0.466	0.65	0.511	0.564	0.384	0.563	0.398	0.477	0.843	0.285	0.85	959703.0	1353300.919421
